network_type,model,node,entity_type,is_seed,in_degree,out_degree,total_degree,degree_centrality,betweenness,pagerank,total_degree_rank,betweenness_rank,pagerank_rank
expanded_second_pass,arc_apex,March on Washington for Jobs and Freedom,event,True,6,1,7,0.06140350877192982,0.0067271513009752445,0.008042910607856214,15.0,24.0,32.0
expanded_second_pass,arc_apex,Martin Luther King Jr.,activist,True,22,21,43,0.3421052631578947,0.24718691461176928,0.045976716965122136,2.0,3.0,3.0
expanded_second_pass,arc_apex,Alabama,place,False,2,4,6,0.05263157894736842,0.004758824297715771,0.01869350429437965,21.0,31.0,13.0
expanded_second_pass,arc_apex,Black Power,movement,False,3,7,10,0.08771929824561403,0.046719962525539414,0.007134786393117681,9.0,8.0,33.0
expanded_second_pass,arc_apex,Brown v. Board of Education,law,False,4,2,6,0.043859649122807015,0.002325072760564144,0.024178398372363533,21.0,37.0,9.0
expanded_second_pass,arc_apex,Reconstruction,event,False,6,0,6,0.05263157894736842,0.004110982492924463,0.027547414171731774,21.0,34.0,7.0
expanded_second_pass,arc_apex,Student Nonviolent Coordinating Committee,organisation,True,32,11,43,0.3157894736842105,0.2761918024126852,0.0813264965528034,2.0,2.0,1.0
expanded_second_pass,arc_apex,"Albany, Georgia",place,False,0,3,3,0.02631578947368421,0.0,0.0023978201906932096,51.0,63.0,90.0
expanded_second_pass,arc_apex,Southern Christian Leadership Conference,organisation,True,10,8,18,0.14035087719298245,0.05963486857344605,0.02392366508850286,4.0,5.0,10.0
expanded_second_pass,arc_apex,Alvin J. Bronstein,person,False,0,7,7,0.06140350877192982,0.003531169045977671,0.0023978201906932096,15.0,35.0,90.0
expanded_second_pass,arc_apex,Congress of Racial Equality,organisation,True,9,6,15,0.11403508771929824,0.05744440465773788,0.016185239098385443,6.0,6.0,17.0
expanded_second_pass,arc_apex,Freedom Rides,event,True,7,3,10,0.07894736842105263,0.04420734050866248,0.01509515952653064,9.0,9.0,19.0
expanded_second_pass,arc_apex,Ku Klux Klan,organisation,False,4,5,9,0.07017543859649122,0.022595724781436538,0.0101311409877707,13.0,15.0,23.0
expanded_second_pass,arc_apex,Simpson,person,False,1,4,5,0.043859649122807015,0.0005242190641105679,0.0026889994942176955,29.0,52.0,85.0
expanded_second_pass,arc_apex,St Augustine,place,False,12,2,14,0.11403508771929824,0.029877472490071236,0.03271600174910347,7.0,12.0,6.0
expanded_second_pass,arc_apex,Tobias Simon,person,False,10,3,13,0.09649122807017543,0.02671003155310236,0.04234656723325081,8.0,13.0,4.0
expanded_second_pass,arc_apex,Andrew Young,activist,True,0,2,2,0.017543859649122806,0.0,0.0023978201906932096,72.0,63.0,90.0
expanded_second_pass,arc_apex,Atlanta,place,False,2,3,5,0.043859649122807015,0.015581680433799674,0.012075052713796051,29.0,17.0,21.0
expanded_second_pass,arc_apex,John Lewis,activist,True,1,5,6,0.05263157894736842,0.005183329065490222,0.005819320096695352,21.0,27.0,41.0
expanded_second_pass,arc_apex,Ruby Doris Smith Robinson,person,False,2,5,7,0.06140350877192982,0.005056436990531076,0.006838447659031052,15.0,29.0,35.0
expanded_second_pass,arc_apex,Bayard Rustin,activist,True,0,8,8,0.07017543859649122,0.0529280428209166,0.0023978201906932096,14.0,7.0,90.0
expanded_second_pass,arc_apex,Freedom Budget for All Americans,campaign,False,1,0,1,0.008771929824561403,0.0,0.0026526020812771348,90.0,63.0,86.0
expanded_second_pass,arc_apex,Mahatma Gandhi,person,False,5,0,5,0.043859649122807015,0.005093670755058738,0.008476942706396016,29.0,28.0,29.0
expanded_second_pass,arc_apex,New York City school strikes,event,False,1,0,1,0.008771929824561403,0.0,0.0026526020812771348,90.0,63.0,86.0
expanded_second_pass,arc_apex,Solidarity movement,movement,False,1,1,2,0.017543859649122806,0.0,0.0026526020812771348,72.0,63.0,86.0
expanded_second_pass,arc_apex,United Federation of Teachers,organisation,False,1,0,1,0.008771929824561403,0.0,0.0026526020812771348,90.0,63.0,86.0
expanded_second_pass,arc_apex,Beyond Vietnam,publication,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Birmingham,place,False,1,4,5,0.043859649122807015,0.0012471567315535635,0.004939518406620702,29.0,45.0,51.0
expanded_second_pass,arc_apex,Charles Billups,person,False,1,5,6,0.05263157894736842,0.005736826693565233,0.0034472976756992424,21.0,25.0,77.0
expanded_second_pass,arc_apex,Civil Rights Act 1964,law,False,1,3,4,0.03508771929824561,0.0003976935276422934,0.0034472976756992424,37.0,56.0,77.0
expanded_second_pass,arc_apex,Black Panther Party,organisation,False,0,4,4,0.03508771929824561,0.0015854029011923743,0.0023978201906932096,37.0,42.0,90.0
expanded_second_pass,arc_apex,Black Power Movement,movement,False,2,2,4,0.03508771929824561,0.0034067056771256376,0.005298191572563665,37.0,36.0,49.0
expanded_second_pass,arc_apex,Chicago,place,False,3,1,4,0.03508771929824561,0.0004777089080768633,0.008292942555372365,37.0,54.0,31.0
expanded_second_pass,arc_apex,James Groppi,person,False,1,2,3,0.02631578947368421,0.0019155947624067149,0.003264179744755063,51.0,39.0,79.0
expanded_second_pass,arc_apex,Modjeska Monteith Simkins,person,False,3,7,10,0.07894736842105263,0.04327242230926687,0.006994511611626507,9.0,10.0,34.0
expanded_second_pass,arc_apex,Patricia Stephens Due,person,False,2,4,6,0.05263157894736842,0.00809748458796311,0.005306355374743297,21.0,22.0,48.0
expanded_second_pass,arc_apex,Stokely Carmichael,activist,True,2,1,3,0.02631578947368421,0.00029627904569683796,0.0055160194579996534,51.0,57.0,45.0
expanded_second_pass,arc_apex,Bob Moses,activist,True,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Bristol Bus Boycott,event,False,0,3,3,0.02631578947368421,0.0,0.0023978201906932096,51.0,63.0,90.0
expanded_second_pass,arc_apex,Montgomery Bus Boycott,event,True,6,1,7,0.06140350877192982,0.010911004157394474,0.019476902717932794,15.0,20.0,11.0
expanded_second_pass,arc_apex,Brooklyn,place,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Jim Crow regime,law,False,4,1,5,0.043859649122807015,0.0008568619188088216,0.016916047977043797,29.0,50.0,16.0
